company_permalink,company_name,company_category_code,company_country_code,company_state_code,company_region,company_city,investor_permalink,investor_name,investor_category_code,investor_country_code,investor_state_code,investor_region,investor_city,funding_round_type,funded_at,funded_month,funded_quarter,funded_year,raised_amount_usd
/company/localemotive,MetaLayer,analytics,USA,PA,Philadelphia,Philadelphia,/company/acceleprise,Acceleprise,,,,unknown,,angel,2012-09-01,2012-09,2012-Q3,2012,30000
/company/stayntouch,StayNTouch,enterprise,USA,MD,Washington DC,Potomac,/company/acceleprise,Acceleprise,,,,unknown,,series-a,2013-07-25,2013-07,2013-Q3,2013,1600000
/company/adchemy,Adchemy,advertising,USA,CA,SF Bay,Foster City,/company/accenture,Accenture,consulting,USA,CA,San Diego,San Diego,venture,2009-10-20,2009-10,2009-Q4,2009,31000000
/company/predixion-software,Predixion Software,software,USA,CA,Los Angeles,San Juan Capistrano,/company/accenture,Accenture,consulting,USA,CA,San Diego,San Diego,series-c+,2013-07-08,2013-07,2013-Q3,2013,20000000
/company/apigee,Apigee,enterprise,USA,CA,SF Bay,Palo Alto,/company/accenture,Accenture,consulting,USA,CA,San Diego,San Diego,series-c+,2013-07-31,2013-07,2013-Q3,2013,35000000
/company/wildtangent,WildTangent,games_video,USA,WA,Seattle,Redmond,/company/accenture-technology-ventures,Accenture Technology Ventures,education,USA,CA,SF Bay,Palo Alto,series-c+,2001-04-01,2001-04,2001-Q2,2001,34000000
/company/gemini,Gemini Mobile Technologies,mobile,USA,CA,SF Bay,San Mateo,/company/access,Access,,JPN,,Chiyoda-ku,"Chiyoda-ku, Tokyo",venture,2007-05-31,2007-05,2007-Q2,2007,5000000
/company/payclip,PayClip,mobile,USA,CA,SF Bay,Redwood City,/company/accion-international,Accion,nonprofit,USA,MA,Boston,Boston,series-a,2013-05-28,2013-05,2013-Q2,2013,1500000
/company/fuhu,Fuhu,enterprise,USA,CA,Los Angeles,El Segundo,/company/acer,Acer,hardware,TWN,,Taipei,Taipei,series-b,2009-05-07,2009-05,2009-Q2,2009,6250000
/company/corridor-pharmaceuticals,Corridor Pharmaceuticals,biotech,USA,MD,Baltimore,Towson,/company/acidophil,Acidophil,biotech,USA,MD,Baltimore,Baltimore,series-a,2010-06-16,2010-06,2010-Q2,2010,15000000
/company/stakeforce,Stakeforce,enterprise,USA,CA,San Diego,San Diego,/company/acina-investments,Acina Investments,,,,unknown,,angel,2012-01-01,2012-01,2012-Q1,2012,10000
/company/esolar,eSolar,cleantech,USA,CA,Los Angeles,Pasadena,/company/acme-group,ACME Group,,IND,,Mumbai,Mumbai,series-c+,2009-01-01,2009-01,2009-Q1,2009,40000000
/company/coalogix,CoaLogix,cleantech,USA,NC,Charlotte,Charlotte,/company/acorn-energy,Acorn Energy,cleantech,,,unknown,,venture,2009-04-14,2009-04,2009-Q2,2009,11500000
/company/sustainable-industrial-solutions,Sustainable Industrial Solutions,cleantech,USA,NC,Raleigh-Durham,Durham,/company/acorn-innovestments,Acorn Innovestments,,,,unknown,,angel,2011-01-01,2011-01,2011-Q1,2011,300000
/company/mxhero,mxHero,software,USA,CA,SF Bay,San Francisco,/company/actinic-ventures-llc,Actinic Ventures LLC,,,,unknown,,angel,2013-07-19,2013-07,2013-Q3,2013,1250000
/company/nprogress,nprogress,social,USA,CA,Los Angeles,Los Angeles,/company/activation-media,Activation Media,games_video,USA,NY,New York,New York,series-a,2011-12-01,2011-12,2011-Q4,2011,1700000
/company/krossover-intelligence,Krossover,software,USA,NY,New York,New York,/company/active-angels,Active Angels,,,,unknown,,series-a,2011-10-15,2011-10,2011-Q4,2011,2500000
/company/kynetx,Kynetx,software,USA,UT,Salt Lake City,Lehi,/company/acxiom,Acxiom,software,USA,AR,Little Rock,Little Rock,series-a,2009-10-29,2009-10,2009-Q4,2009,2000000
/company/brand-affinity-technologies,Brand Affinity Technologies,advertising,USA,CA,Los Angeles,Irvine,/company/ad-pepper-media,ad pepper media,advertising,DEU,,Nuremberg,Nuremberg,series-c+,2010-08-24,2010-08,2010-Q3,2010,20000000
/company/socialtyze,Socialtyze,analytics,USA,CA,Los Angeles,Los Angeles,/company/ad-pepper-media,ad pepper media,advertising,DEU,,Nuremberg,Nuremberg,series-a,2010-01-01,2010-01,2010-Q1,2010,1500000
/company/satisfaction,Get Satisfaction,web,USA,CA,SF Bay,San Francisco,/company/adaptivepath,Adaptive Path,web,USA,CA,SF Bay,San Francisco,angel,2007-09-01,2007-09,2007-Q3,2007,1300000
/company/path-to,Path.To,web,USA,FL,Jacksonville,Jacksonville,/company/adecco,Adecco,,CHE,,Glattbrugg,Glattbrugg,venture,2012-04-24,2012-04,2012-Q2,2012,1500000
/company/cequint,Cequint,software,USA,WA,Seattle,Seattle,/company/admitone-security,AdmitOne Security,security,USA,WA,Seattle,Issaquah,series-a,2006-04-01,2006-04,2006-Q2,2006,510000
/company/veoh,Veoh,games_video,USA,CA,San Diego,San Diego,/company/adobe-systems,Adobe Systems,software,USA,CA,SF Bay,San Jose,series-c+,2008-06-03,2008-06,2008-Q2,2008,30000000
/company/demandbase,Demandbase,analytics,USA,CA,SF Bay,San Francisco,/company/adobe-systems,Adobe Systems,software,USA,CA,SF Bay,San Jose,series-b,2008-08-25,2008-08,2008-Q3,2008,8000000
/company/scanr,scanR,mobile,USA,CA,SF Bay,Palo Alto,/company/adobe-systems,Adobe Systems,software,USA,CA,SF Bay,San Jose,series-b,2007-03-22,2007-03,2007-Q1,2007,8000000
/company/demandbase,Demandbase,analytics,USA,CA,SF Bay,San Francisco,/company/adobe-systems,Adobe Systems,software,USA,CA,SF Bay,San Jose,series-c+,2011-05-12,2011-05,2011-Q2,2011,10000000
/company/demandbase,Demandbase,analytics,USA,CA,SF Bay,San Francisco,/company/adobe-systems,Adobe Systems,software,USA,CA,SF Bay,San Jose,series-c+,2013-03-28,2013-03,2013-Q1,2013,15000000
/company/wanderful-media,Wanderful Media,advertising,USA,CA,SF Bay,Los Gatos,/company/advance-digital,Advance Digital,,,,unknown,,venture,2013-05-21,2013-05,2013-Q2,2013,9000000
/company/kno,Kno,software,USA,CA,SF Bay,Santa Clara,/company/advance-publications,Advance Publications,public_relations,USA,NY,New York,Staten Island,series-c+,2011-04-06,2011-04,2011-Q2,2011,30044995
/company/visible-measures,Visible Measures,advertising,USA,MA,Boston,Boston,/company/advance-publications,Advance Publications,public_relations,USA,NY,New York,Staten Island,series-c+,2011-09-22,2011-09,2011-Q3,2011,13000000
/company/unified,Unified,enterprise,USA,CA,New York,New York,/company/advance-publications,Advance Publications,public_relations,USA,NY,New York,Staten Island,venture,2012-06-07,2012-06,2012-Q2,2012,14000000
/company/visible-measures,Visible Measures,advertising,USA,MA,Boston,Boston,/company/advance-publications,Advance Publications,public_relations,USA,NY,New York,Staten Island,venture,2012-08-14,2012-08,2012-Q3,2012,21500000
/company/newsle,Newsle,web,USA,CA,SF Bay,San Francisco,/company/advance-publications,Advance Publications,public_relations,USA,NY,New York,Staten Island,series-a,2013-05-20,2013-05,2013-Q2,2013,1650000
/company/gigya,Gigya,enterprise,USA,CA,SF Bay,Mountain View,/company/advance-publications,Advance Publications,public_relations,USA,NY,New York,Staten Island,venture,2013-09-19,2013-09,2013-Q3,2013,25000000
/company/urban-compass,Urban Compass,web,USA,NY,New York,New York,/company/advance-publications,Advance Publications,public_relations,USA,NY,New York,Staten Island,series-a,2013-09-25,2013-09,2013-Q3,2013,20000000
/company/row44,Row44,network_hosting,USA,CA,Los Angeles,Westlake Village,/company/advanced-inflight-alliance,Advanced Inflight Alliance,,,,unknown,,venture,2012-06-11,2012-06,2012-Q2,2012,45000000
/company/row44,Row44,network_hosting,USA,CA,Los Angeles,Westlake Village,/company/advanced-inflight-alliance,Advanced Inflight Alliance,,,,unknown,,venture,2012-06-11,2012-06,2012-Q2,2012,45000000
/company/vestagen-technical-textiles,Vestagen Technical Textiles,health,USA,FL,Orlando,Orlando,/company/advent-life-sciences,Advent Life Sciences,,,,unknown,,venture,2013-08-27,2013-08,2013-Q3,2013,8250000
/company/bypass-lane,Bypass Mobile,mobile,USA,TX,Austin,Austin,/company/aeg,AEG,,USA,CA,Los Angeles,Los Angeles,venture,2013-04-10,2013-04,2013-Q2,2013,3500000
/company/greatpoint-energy,GreatPoint Energy,cleantech,USA,MA,Boston,Cambridge,/company/aes-corporation,AES Corporation,semiconductor,USA,,Boston,Boston,series-c+,2007-09-24,2007-09,2007-Q3,2007,100000000
/company/gobbler,Gobbler,enterprise,USA,CA,Los Angeles,Hollywood,/company/af-square-llc,"AF Square, LLC",,,,unknown,,series-a,2012-01-23,2012-01,2012-Q1,2012,1750000
/company/bolster,Bolster,web,USA,NY,New York,New York,/company/agb-holdings,AGB Holdings,,,,unknown,,angel,2012-01-03,2012-01,2012-Q1,2012,750000
/company/rolith,Rolith,nanotech,USA,CA,SF Bay,Pleasanton,/company/agc-america,AGC America,,,,unknown,,series-a,2012-04-05,2012-04,2012-Q2,2012,5000000
/company/gen9,Gen9,biotech,USA,MA,Boston,Cambridge,/company/agilent,Agilent Technologies,biotech,USA,CA,SF Bay,Santa Clara,private-equity,2013-04-24,2013-04,2013-Q2,2013,21000000
/company/homesnap,Homesnap,analytics,USA,DC,Washington DC,Washington,/company/ah-belo,AH Belo,,USA,TX,Dallas,Dallas,series-a,2009-07-01,2009-07,2009-Q3,2009,2000000
/company/responselogix,ResponseLogix,software,USA,CA,SF Bay,Sunnyvale,/company/ah-belo,AH Belo,,USA,TX,Dallas,Dallas,venture,2009-10-26,2009-10,2009-Q4,2009,5600000
/company/nanochip,Nanochip,software,USA,CA,SF Bay,Fremont,/company/akn-technology-bhd,AKN Technology Bhd,semiconductor,MYS,,Malaysia - Other,,series-c+,2006-04-18,2006-04,2006-Q2,2006,14800000
/company/prizeo,Prizeo,web,USA,CA,Los Angeles,Los Angeles,/company/akqa,AKQA,advertising,USA,CA,SF Bay,San Francisco,series-a,2013-06-06,2013-06,2013-Q2,2013,2500000
/company/knetik-media,Knetik Media,fashion,USA,FL,Londwood,Londwood,/company/alfalak,Alfalak,,,,unknown,,angel,2011-01-01,2011-01,2011-Q1,2011,250000
/company/divx,DivX,software,USA,CA,San Diego,San Diego,/company/ali-corporation,ALi Corporation,public_relations,USA,CA,Los Angeles,Los Angeles,series-c+,2004-05-01,2004-05,2004-Q2,2004,7000000
/company/shoprunner,ShopRunner,ecommerce,USA,PA,Philadelphia,Conshohocken,/company/alibaba,Alibaba,ecommerce,CHN,,Hangzhou,Hangzhou,venture,2013-08-19,2013-08,2013-Q3,2013,75000000
/company/city-labs,City Labs,hardware,USA,FL,Miami,Homestead,/company/alienware,Alienware,hardware,USA,FL,Miami,Miami,series-a,2010-11-15,2010-11,2010-Q4,2010,
/company/civitas-therapeutics,Civitas Therapeutics,biotech,USA,MA,Boston,Chelsea,/company/alkermes,Alkermes,biotech,USA,MA,Boston,Waltham,series-b,2013-09-11,2013-09,2013-Q3,2013,38000000
/company/biosystem-development,Biosystem Development,biotech,USA,WI,Madison,Madison,/company/all-metal-stamping,All Metal Stamping,,USA,WI,Abbotsford,Abbotsford,venture,2009-11-24,2009-11,2009-Q4,2009,1400000
/company/baronova,BAROnova,medical,USA,CA,Santa Barbara,Goleta,/company/allergan,Allergan,biotech,USA,CA,Los Angeles,Irvine,series-b,2008-10-23,2008-10,2008-Q4,2008,7500000
/company/wowio,WOWIO,web,USA,CA,Los Angeles,Los Angeles,/company/alliance-acquisitions-inc,Alliance Acquisitions,other,USA,CA,Los Angeles,Los Angeles,series-b,2010-12-31,2010-12,2010-Q4,2010,2500000
/company/hone-and-strop,Hone and Strop,fashion,USA,CA,Los Angeles,Los Angeles,/company/alliance-acquisitions-inc,Alliance Acquisitions,other,USA,CA,Los Angeles,Los Angeles,angel,2011-07-04,2011-07,2011-Q3,2011,375000
/company/petlist,My Dog Bowl,pets,USA,CA,Los Angeles,Laguna Niguel,/company/alpha-wolf-investments,Alpha Wolf Investments,,,,unknown,,angel,2013-07-08,2013-07,2013-Q3,2013,
/company/brammo,Brammo,cleantech,USA,OR,Ashland,Ashland,/company/alpine-energy,Alpine Energy,cleantech,,,unknown,,series-b,2011-10-26,2011-10,2011-Q4,2011,28000000
/company/art-sy,Artsy,design,USA,NY,New York,New York,/company/alt-option-return,Alt Option Return,,USA,NY,New York,New York,angel,2010-11-24,2010-11,2010-Q4,2010,1250000
/company/boostctr,BoostCTR,advertising,USA,CA,SF Bay,San Francisco,/company/alt-option-return,Alt Option Return,,USA,NY,New York,New York,series-a,2011-03-14,2011-03,2011-Q1,2011,1640000
/company/popexpert,popexpert,education,USA,CA,California - Other,,/company/alt-option-return,Alt Option Return,,USA,NY,New York,New York,series-a,2013-05-21,2013-05,2013-Q2,2013,2000000
/company/highwinds,Highwinds,software,USA,FL,Orlando,Winter Park,/company/alta-communications,Alta Communications,public_relations,USA,MA,Boston,Boston,venture,2008-03-11,2008-03,2008-Q1,2008,55000000
/company/combinenet,CombineNet,enterprise,USA,PA,Pittsburg,Pittsburgh,/company/alta-communications,Alta Communications,public_relations,USA,MA,Boston,Boston,venture,2010-06-09,2010-06,2010-Q2,2010,2120000
/company/mr-youth,Mr. Youth,advertising,USA,NY,New York,New York,/company/alta-communications,Alta Communications,public_relations,USA,MA,Boston,Boston,series-a,2009-02-01,2009-02,2009-Q1,2009,15000000
/company/histros,Histros,education,USA,CA,SF Bay,Palo Alto,/company/alving,Alving,,,,unknown,,angel,2012-01-01,2012-01,2012-Q1,2012,300000
/company/weare-us,WeAre.Us,advertising,USA,CA,SF Bay,San Francisco,/company/amarin-neuroscience,Amarin NeuroScience,biotech,GBR,,Stirling,Stirling,angel,2008-08-01,2008-08,2008-Q3,2008,50000
/company/delicious,delicious,web,USA,CA,SF Bay,San Mateo,/company/amazon,Amazon,ecommerce,USA,WA,Seattle,Seattle,angel,2005-04-01,2005-04,2005-Q2,2005,
/company/wikia,Wikia,web,USA,CA,SF Bay,San Francisco,/company/amazon,Amazon,ecommerce,USA,WA,Seattle,Seattle,series-b,2006-12-01,2006-12,2006-Q4,2006,10000000
/company/amiestreet,Amie Street,web,USA,NY,New York,Long Island City,/company/amazon,Amazon,ecommerce,USA,WA,Seattle,Seattle,series-a,2007-08-01,2007-08,2007-Q3,2007,
/company/shelfari,Shelfari,web,USA,WA,Seattle,Seattle,/company/amazon,Amazon,ecommerce,USA,WA,Seattle,Seattle,series-a,2007-02-01,2007-02,2007-Q1,2007,1000000
/company/billmelater,Bill Me Later,web,USA,MD,Washington DC,Timonium,/company/amazon,Amazon,ecommerce,USA,WA,Seattle,Seattle,venture,2007-12-01,2007-12,2007-Q4,2007,
/company/engineyard,Engine Yard,software,USA,CA,SF Bay,San Francisco,/company/amazon,Amazon,ecommerce,USA,WA,Seattle,Seattle,series-b,2008-07-13,2008-07,2008-Q3,2008,15000000
/company/elastra,Elastra,software,USA,CA,SF Bay,San Francisco,/company/amazon,Amazon,ecommerce,USA,WA,Seattle,Seattle,series-b,2008-08-05,2008-08,2008-Q3,2008,12000000
/company/yieldex,Yieldex,advertising,USA,NY,New York,New York,/company/amazon,Amazon,ecommerce,USA,WA,Seattle,Seattle,series-b,2009-02-18,2009-02,2009-Q1,2009,8500000
/company/the-talk-market,The Talk Market,ecommerce,USA,NY,New York,New York,/company/amazon,Amazon,ecommerce,USA,WA,Seattle,Seattle,angel,2008-06-12,2008-06,2008-Q2,2008,
/company/booktour,BookTour,search,USA,CA,California - Other,,/company/amazon,Amazon,ecommerce,USA,WA,Seattle,Seattle,angel,2009-04-17,2009-04,2009-Q2,2009,350000
/company/foodista,Foodista,hospitality,USA,WA,Seattle,Seattle,/company/amazon,Amazon,ecommerce,USA,WA,Seattle,Seattle,series-a,2009-04-16,2009-04,2009-Q2,2009,550000
/company/animoto,Animoto,music,USA,NY,New York,New York,/company/amazon,Amazon,ecommerce,USA,WA,Seattle,Seattle,series-b,2009-06-18,2009-06,2009-Q2,2009,4400000
/company/engineyard,Engine Yard,software,USA,CA,SF Bay,San Francisco,/company/amazon,Amazon,ecommerce,USA,WA,Seattle,Seattle,series-c+,2009-10-07,2009-10,2009-Q4,2009,19000000
/company/cirtas,Cirtas Systems,enterprise,USA,CA,SF Bay,San Jose,/company/amazon,Amazon,ecommerce,USA,WA,Seattle,Seattle,series-a,2010-09-20,2010-09,2010-Q3,2010,10000000
/company/livingsocial,LivingSocial,ecommerce,USA,DC,Washington DC,Washington D.C.,/company/amazon,Amazon,ecommerce,USA,WA,Seattle,Seattle,series-c+,2010-12-02,2010-12,2010-Q4,2010,183000000
/company/sonian,Sonian,enterprise,USA,MA,Boston,Newton,/company/amazon,Amazon,ecommerce,USA,WA,Seattle,Seattle,series-b,2010-12-08,2010-12,2010-Q4,2010,9000000
/company/livingsocial,LivingSocial,ecommerce,USA,DC,Washington DC,Washington D.C.,/company/amazon,Amazon,ecommerce,USA,WA,Seattle,Seattle,series-c+,2011-04-04,2011-04,2011-Q2,2011,400000000
/company/animoto,Animoto,music,USA,NY,New York,New York,/company/amazon,Amazon,ecommerce,USA,WA,Seattle,Seattle,series-c+,2011-06-29,2011-06,2011-Q2,2011,25000000
/company/paraccel,ParAccel,analytics,USA,CA,SF Bay,Campbell,/company/amazon,Amazon,ecommerce,USA,WA,Seattle,Seattle,venture,2011-07-07,2011-07,2011-Q3,2011,
/company/songza,Songza,music,USA,NY,New York,Long Island City,/company/amazon,Amazon,ecommerce,USA,WA,Seattle,Seattle,venture,2011-09-19,2011-09,2011-Q3,2011,2000000
/company/livingsocial,LivingSocial,ecommerce,USA,DC,Washington DC,Washington D.C.,/company/amazon,Amazon,ecommerce,USA,WA,Seattle,Seattle,series-c+,2011-11-18,2011-11,2011-Q4,2011,176000000
/company/videolicious,Videolicious,software,USA,NJ,New York,Newark,/company/amazon,Amazon,ecommerce,USA,WA,Seattle,Seattle,angel,2012-07-30,2012-07,2012-Q3,2012,1400000
/company/songza,Songza,music,USA,NY,New York,Long Island City,/company/amazon,Amazon,ecommerce,USA,WA,Seattle,Seattle,private-equity,2013-09-10,2013-09,2013-Q3,2013,4700000
/company/videolicious,Videolicious,software,USA,NJ,New York,Newark,/company/amazon,Amazon,ecommerce,USA,WA,Seattle,Seattle,venture,2013-08-09,2013-08,2013-Q3,2013,2250000
/company/dramafever,DramaFever,games_video,USA,NY,New York,New York,/company/amc-networks,AMC Networks,,,,unknown,,series-b,2012-06-12,2012-06,2012-Q2,2012,6000000
/company/vivu,ViVu,messaging,USA,CA,SF Bay,Cupertino,/company/amd,AMD,hardware,USA,CA,SF Bay,Sunnyvale,series-b,2011-06-09,2011-06,2011-Q2,2011,
/company/amobee,Amobee,advertising,USA,CA,SF Bay,Redwood City,/company/amdocs,Amdocs,web,,,unknown,,venture,2009-10-12,2009-10,2009-Q4,2009,
/company/opentable,OpenTable,web,USA,CA,SF Bay,San Francisco,/company/americanexpress,American Express,other,USA,,TBD,,series-b,2000-01-01,2000-01,2000-Q1,2000,10000000
/company/deem,Deem,ecommerce,USA,AZ,SF Bay,Foster City,/company/americanexpress,American Express,other,USA,,TBD,,series-c+,2006-07-01,2006-07,2006-Q3,2006,32500000
/company/deem,Deem,ecommerce,USA,AZ,SF Bay,Foster City,/company/americanexpress,American Express,other,USA,,TBD,,series-c+,2008-04-01,2008-04,2008-Q2,2008,100000000
/company/payfone,Payfone,mobile,USA,NY,New York,New York,/company/americanexpress,American Express,other,USA,,TBD,,venture,2011-04-13,2011-04,2011-Q2,2011,19000000
/company/deem,Deem,ecommerce,USA,AZ,SF Bay,Foster City,/company/americanexpress,American Express,other,USA,,TBD,,venture,2011-09-21,2011-09,2011-Q3,2011,133000000
/company/clickable,Clickable,advertising,USA,NY,New York,New York,/company/americanexpress,American Express,other,USA,,TBD,,series-c+,2011-10-17,2011-10,2011-Q4,2011,12000000
/company/ness-computing,Ness Computing,search,USA,CA,SF Bay,Los Altos,/company/americanexpress,American Express,other,USA,,TBD,,series-b,2012-08-21,2012-08,2012-Q3,2012,15000000
/company/warby-parker,Warby Parker,ecommerce,USA,NY,New York,New York,/company/americanexpress,American Express,other,USA,,TBD,,series-b,2013-01-01,2013-01,2013-Q1,2013,41500000
/company/radius-intelligence-inc,Radius Intelligence,analytics,USA,CA,SF Bay,San Francisco,/company/americanexpress,American Express,other,USA,,TBD,,series-b,2013-01-23,2013-01,2013-Q1,2013,12400000
/company/rent-the-runway,Rent the Runway,ecommerce,USA,NY,New York,New York,/company/americanexpress,American Express,other,USA,,TBD,,series-c+,2013-03-11,2013-03,2013-Q1,2013,4400000
/company/savingstar,SavingStar,advertising,USA,MA,Boston,Waltham,/company/americanexpress,American Express,other,USA,,TBD,,series-c+,2013-04-05,2013-04,2013-Q2,2013,9100000
/company/wrapp,Wrapp,web,USA,CA,SF Bay,San Francisco,/company/americanexpress,American Express,other,USA,,TBD,,series-b,2013-06-13,2013-06,2013-Q2,2013,15000000
/company/fancy,Fancy,web,USA,NY,New York,New York,/company/americanexpress,American Express,other,USA,,TBD,,series-c+,2013-07-08,2013-07,2013-Q3,2013,53000000
/company/learnvest,LearnVest,finance,USA,NY,New York,New York,/company/americanexpress,American Express,other,USA,,TBD,,series-c+,2013-07-26,2013-07,2013-Q3,2013,16500000
/company/kiip,Kiip,mobile,USA,CA,SF Bay,San Francisco,/company/americanexpress,American Express,other,USA,,TBD,,venture,2013-08-15,2013-08,2013-Q3,2013,
